	Kingdom	Phylum	Class	Order	Family	Genus
asv210	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	OM27_clade
asv211	Bacteria	Cyanobacteria	Cyanobacteriia	Synechococcales	Cyanobiaceae	Prochlorococcus_MIT9313
asv212	Bacteria	Proteobacteria	Alphaproteobacteria	Parvibaculales	OCS116_clade	OCS116_clade_uncl
asv213	Bacteria	Proteobacteria	Gammaproteobacteria	OM182_clade	OM182_clade_uncl	OM182_clade_uncl
asv214	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Clade_I	SAR11_Clade_Ib
asv215	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacteriaceae_uncl
asv216	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	FS140-16B-02_marine_group
asv217	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Clade_I	SAR11_Clade_Ia
asv218	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Tenacibaculum
asv219	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Aestuariibacter
asv220	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	CL500-3
asv221	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Terasakiellaceae	Terasakiellaceae_uncl
asv222	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oleiphilaceae	Oleiphilus
asv223	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ascidiaceihabitans
asv224	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116_clade	Candidatus_Puniceispirillum
asv225	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Clade_I	SAR11_Clade_Ia
asv226	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Nitrincolaceae	Nitrincolaceae_uncl
asv227	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacteraceae_uncl
asv228	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	P3OB-42
asv229	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae1	Alcanivorax
asv230	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Aestuariibacter
asv231	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Lentilitoribacter
asv232	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Clade_IV	SAR11_Clade_IV_uncl
asv233	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellulaceae_uncl
asv234	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Stappiaceae	Stappiaceae_uncl
asv235	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiales_uncl	Rickettsiales_uncl
asv236	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Roseibacillus
asv237	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	S25-593	S25-593_uncl
asv238	Bacteria	Cyanobacteria	Cyanobacteriia	Synechococcales	Cyanobiaceae	Prochlorococcus_MIT9313
asv239	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	NS10_marine_group
asv240	Archaea	Thermoplasmatota	Thermoplasmata	Marine_Group_II	Marine_Group_II_uncl	Marine_Group_II_uncl
asv241	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	OM43_clade
asv242	Bacteria	WPS-2	WPS-2_uncl	WPS-2_uncl	WPS-2_uncl	WPS-2_uncl
asv243	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5_marine_group
asv244	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	OM60(NOR5)_clade
asv245	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	OM43_clade
asv246	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86_clade	SAR86_clade_uncl	SAR86_clade_uncl
asv247	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	OM60(NOR5)_clade
asv248	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169	AEGEAN-169_uncl
asv249	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Saccharospirillaceae	Thalassolituus
asv250	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Marinobacteraceae	Marinobacter
asv251	Bacteria	Cyanobacteria	Cyanobacteriia	Synechococcales	Cyanobiaceae	Prochlorococcus_MIT9313
asv252	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonadaceae_uncl
asv253	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Colwellia
asv254	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	Sva0996_marine_group
asv255	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86_clade	SAR86_clade_uncl	SAR86_clade_uncl
asv256	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
asv257	Bacteria	Proteobacteria	Alphaproteobacteria	Parvibaculales	PS1_clade	PS1_clade_uncl
asv258	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	S25-593	S25-593_uncl
asv259	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	OM60(NOR5)_clade
asv260	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacteraceae_uncl
asv261	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS4_marine_group
asv262	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Saprospiraceae_uncl
asv263	Bacteria	Proteobacteria	Gammaproteobacteria	OM182_clade	OM182_clade_uncl	OM182_clade_uncl
